,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_title_clean,outsourced,employee_residence_gdp,company_location_gdp,employee_latitude,employee_longitude,company_latitude,company_longitude
0,2024,SE,FT,Data Architect,363000,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
1,2024,SE,FT,Data Architect,139800,US,0,US,M,Data Architect,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
2,2024,MI,FT,Data Scientist,109000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
3,2024,MI,FT,Data Scientist,93000,US,100,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
4,2024,MI,FT,Research Engineer,38888,PT,0,PT,M,Research Engineer,False,33700,33700,39.399872,-8.224454,39.399872,-8.224454
5,2024,MI,FT,Research Engineer,28888,PT,0,PT,M,Research Engineer,False,33700,33700,39.399872,-8.224454,39.399872,-8.224454
6,2024,SE,FT,Data Scientist,248600,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
7,2024,SE,FT,Data Scientist,149200,US,0,US,M,Data Science,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
8,2024,SE,FT,Business Intelligence,175000,US,0,US,M,BI,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
9,2024,SE,FT,Business Intelligence,150000,US,0,US,M,BI,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
10,2024,SE,FT,Data Modeler,179000,US,0,US,M,Data Modeller,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
11,2024,SE,FT,Data Modeler,112000,US,0,US,M,Data Modeller,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
12,2024,EN,FT,Data Analyst,87999,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
13,2024,EN,FT,Data Analyst,66560,US,0,US,M,Data Analytics,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
14,2024,SE,FT,Business Intelligence Engineer,108500,US,100,US,M,BI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
15,2024,SE,FT,Business Intelligence Engineer,78800,US,100,US,M,BI Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
16,2024,MI,FT,Robotics Engineer,90000,US,0,US,M,Robotics Engineer,False,63700,63700,37.09024,-95.712891,37.09024,-95.712891
