GDP,country_code,latitude,longitude
139100,LI,47.166,9.555373
115700,MC,43.750298,7.412841
115700,LU,49.815273,6.129583
106000,SG,1.352083,103.819836
102500,IE,53.41291,-8.24389
92900,QA,25.354826,51.183884
84600,IM,54.236107,-4.548056
80300,BM,32.321384,-64.75737
71000,CH,46.818188,8.227512
70800,FK,-51.796253,-59.523613
69700,AE,23.424076,53.847818
67500,CF,6.611111,20.939444
800,CF,6.611111,20.939444
67500,NO,60.472024,8.468946
64800,MO,22.198745,113.543873
63700,US,37.09024,-95.712891
61700,GI,36.137741,-5.345374
60100,BN,4.535277,114.727669
60000,HK,22.396428,114.109497
59900,DK,56.26392,9.501785
56600,NL,52.132633,5.291266
56600,JE,49.214439,-2.13125
56400,SM,43.94236,12.457777
55300,SE,60.128161,18.643501
54100,AT,47.516231,14.550072
54000,DE,51.165691,10.451526
53600,IS,64.963051,-19.020835
52500,GG,49.465691,-2.585278
51700,BE,50.503887,4.469936
49900,AD,42.546245,1.601554
49800,AU,-25.274398,133.775136
49400,BH,25.930414,50.637772
49400,FI,61.92411,25.748151
47900,CA,56.130366,-106.346771
47800,TW,23.69781,120.960515
46800,GB,55.378051,-3.435973
46200,PM,46.941936,-56.27111
45000,FR,46.227638,2.213749
44700,MT,35.937496,14.375416
44300,SA,23.885942,45.079162
44200,KR,35.907757,127.766922
43900,KW,29.31166,47.481766
42900,NZ,-40.900557,174.885971
42100,IL,31.046051,34.851612
41900,IT,41.87194,12.56738
41800,GL,71.706936,-42.604303
41700,CY,35.126413,33.429859
40800,JP,36.204824,138.252924
40700,CZ,49.817492,15.472962
40000,SI,46.151241,14.995463
40000,FO,61.892635,-6.911806
39300,LT,55.169438,23.881275
38900,AW,12.52111,-69.968338
38700,EE,58.595272,25.013607
37900,ES,40.463667,-3.74922
37000,VI,18.335765,-64.896335
35700,NC,-20.904305,165.618042
35600,GU,13.444304,144.793731
34900,PL,51.919438,19.145136
34300,OM,21.512583,55.923255
34200,VG,18.420695,-64.639968
34000,MS,16.742498,-62.187366
33700,PT,39.399872,-8.224454
33600,HU,47.162494,19.503304
33100,TR,38.963745,35.243322
32600,PR,18.220833,-66.590149
32500,RO,45.943161,24.96676
32100,LV,56.879635,24.603189
31900,SK,48.669026,19.699024
31600,HR,45.1,15.2
30200,BS,25.03428,-77.39628
29500,GR,39.074208,21.824312
29000,PA,8.537981,-80.782127
28800,SC,-4.679574,55.491977
27500,RU,61.52401,105.318756
27000,BG,42.733883,25.48583
26500,KN,17.357822,-62.782998
26300,MY,4.210484,101.975766
26100,KZ,48.019573,66.923684
25400,CL,-35.675147,-71.542969
24500,MP,17.33083,145.38469
23000,TT,10.691803,-61.222503
22800,UY,-32.522779,-55.765835
22000,LY,26.3351,17.228331
21900,GY,4.860416,-58.93018
21500,AR,-38.416097,-63.616672
